,ریشه,ستاک گذشته,ستاک حال,گفتار,نوشتار,گذرایی,معنی,اسم ابزار,پیشوند,گذشته محاوره,حال محاوره
461,گرداندن,گرداند,گردان,True,True,,,False,,,
462,گرفتن,گرفت,گیر,True,True,,,False,,,
463,گرویدن,گروید,گرو,True,True,,ایمان آوردن، باوریدن,False,,,
464,گریاندن,گریاند,گریان,True,True,,,False,,,
465,گریختن,گریخت,گریز,True,True,,,False,,,
466,گریستن,گریست,‌گری,True,True,,,False,,,
467,گزاردن,گزارد,گزار,؟,؟,,,False,,,
468,گَزیدن,گَزید,گَز,؟,؟,,,False,,,
469,گُزیدن,گُزید,گُزین,True,True,,,False,,,
470,گُزیریدن/گزیردن[۱۰۱],گزیرید/گزیرد,گزیر,True,True,,چاره جویی کردن، تصمیم گرفتن,False,,,
471,گُساردن,گسارد,گسار,False,True,,,False,,,
472,گُستراندن,گُستراند,گُستران,True,True,,,False,,,
473,گُستَردن,گُسترد,گُستر,True,True,,,False,,,
474,گُسستن,گسست,گسل,؟,؟,,,False,,,
475,گُسیختن,گسیخت,گسل,؟,؟,,,False,,,
476,گُسیلاندن,گسیلاند,گسیلان,False,False,,,False,,,
477,گُسیلیدن,گسیلید,گسیل,False,False,,,False,,,
478,گشادن,گشاد,گشا,؟,؟,,,False,,,
479,گشتن,گشت,گرد,True,True,,,False,,,
480,گشودن,گشود,گشای,False,True,,,False,,,
481,گفتن,گفت,گوی,True,True,,,False,,, گ
482,گُماردن,گمارد,گمار,False,True,,,False,,,
483,گُماشتن,گماشت,گمار,؟,؟,,,False,,,
484,گمیختن[۱۰۲],گمیخت,گمیز,؟,؟,,,False,,,
485,گندیدن,گندید,گند,True,True,,,False,,,
486,گنجیدن,گنجید,گنج,True,True,,,False,,,
488,گواژیدن[۱۰۳],گواژید,گواژ,True,True,,طعنه زدن,False,,,
488,گواژیدن[۱۰۳],گواژید,گواژ,True,True,,طعنه زدن,False,,,
489,گوالیدن[۱۰۴],گوال,گوال,True,True,,,False,,,
490,گوزیدن,گوزید,گوز,True,True,,,False,,,
491,لابیدن[۱۰۵],لابید,لاب,؟,؟,,التماس کردن,False,,,
492,لاغریدن,لاغرید,لاغر,؟,؟,,,False,,,
493,لاشیدن,لاشید,لاش,؟,؟,,,False,,,
494,لافیدن[۱۰۶],لافید,لاف,؟,؟,,لاف زدن، گزافه گفتن,False,,,
495,لَخشیدن,لَخشید,لَخش,؟,؟,,,False,,,
496,لِستن,لست,لیس,؟,؟,,,False,,,
497,لِشتن[۱۰۷],لشت,لیس,True,؟,,,False,,,
498,لَشتن,لشت,؟,؟,,,,False,,,
499,لغزیدن,لغزید,لغز,؟,؟,,,False,,,
500,لُمباندن[۱۰۸],لمباند,لمبان,True,؟,,,False,,,
501,لُمباندن[۱۰۹],لمباند,لمبان,True,؟,,,False,,,
502,لُمبیدن[۱۱۰],لُمبید,لمب,True,True,,,False,,,
503,لَنگیدن,لنگید,لَنگ,؟,؟,,,False,,,
504,لِهیدن,لهید,لِه,؟,؟,,,False,,,
505,لیسیدن,لیسید,لیس,؟,؟,,,False,,,
506,لیشتن,لیشت,لیس,؟,؟,,,False,,,
507,ماسیدن,ماسید,ماس,True,True,,,False,,,
508,مالاندن,مالاند,مالان,؟,؟,,,False,,,
509,مالیدن,مالید,مال,؟,؟,,,False,,,
510,ماندن,ماند,مان,؟,؟,,,False,, موند,
511,مانستن[۱۱۱],مانست,مان,؟,؟,,,False,,,
512,مانیدن,مانید,مان,؟,؟,,,False,,, مون
513,مُردن,مرد,میر,؟,؟,,,False,,,
514,مُشتن,مشت,مال,؟,؟,,,False,,,
515,مولیدن[۱۱۲],مولید,مول,False,False,,درنگ کردن، تأخیر نمودن,False,,,
516,موییدن,مویید,موی,False,False,,,False,,,
517,میراندن,میراند,میران,True,True,,,False,,,
518,میزیدن,می‌زید,میز,؟,؟,گذرا,,False,,,
519,نازیدن,نازید,ناز,؟,؟,,,False,,,
520,ناسیدن[۱۱۳],ناسید,ناس,؟,؟,,لاغر شدن، ضعیف شدن,False,,,
521,نالیدن,نالید,نال,؟,؟,,,False,,,
522,ناویدن,ناوید,ناو,؟,؟,,,False,,,
523,نامیدن,نامید,نام,؟,؟,,,False,,,
524,نپاهیدن*[۱۱۴],نپاهید,نپاه,؟,؟,,,False,,,
525,نشاستن,نشاست,نشا,؟,؟,,,False,,,
526,نشاندن,نشاند,نشان,؟,؟,,,False,,,
527,نشستن,نشست,‌نشین,True,True,,,False,,,شین
528,نِفْریدن[۱۱۵],نفرید,نفرین,؟,True,گذرا,,False,,,
529,نگاشتن,نگاشت,نگار,؟,؟,,,False,,,
530,نگریستن,نگریست,نگر,True,True,,,False,,,
531,نمودن,نمود,نمای,True,True,,,False,,,
532,نواختن,نواخت,نواز,؟,؟,,,False,,,
533,نَوردیدن,نوردید,نورد,؟,؟,گذرا,طی کردن و درهم پیچیدن,نَوَردَن [۱۱۶],,,
534,نَوَشتن[۱۱۷],نَوَشت,نَوَرد,؟,؟,,,False,,,
535,نِوِشتن,نِوِشت,‌نویس,؟,؟,,,False,,,
536,نوشیدن,نوشید,نوش,False,True,,,False,,,
537,نهادن,نهاد,نه,True,True,,,False,,,
538,نهاندن,نهاند,نهان,True,True,,,False,,,
539,نهشتن,نهشت,نه,؟,؟,,,False,,,
540,نهفتن,نهفت,نهنب,True,True,,,نهنبَن[۱۱۸],,,
541,نهیبیدن[۱۱۹],نهیبید,نهیب,؟,True,گذرا,ترسیدن؛ نهیب زدن,False,,,
542,نیازیدن,نیازیدن,نیاز,؟,؟,گذرا,درخواست کردن، محتاج بودن به چیزی,False,,,
543,نیشیدن,نیشید,نیش,؟,؟,,,False,,,
544,نیوشیدن[۱۲۰],نیوشید,نیوش,؟,؟,,,False,,,
545,وابُردن,وابُرد,وابَر,True,True,,,False,,,
546,وابستن,وابست,وابند,True,True,,,False,,,
547,واخواستن,واخواست,واخواه,True,True,,,False,,,
548,واخواندن,واخواند,واخوان,True,True,,,False,,,
549,واخیدن,واخید,واخ,True,True,,حلاجی کردن,False,,,
550,وادادن,واداد,واده,True,True,,,False,,,
551,وارسیدن,وارسید,وارس,؟,؟,,,False,,,
552,واریدن,وارید,وار,True,True,,,False,,,
553,وازدن,وازد,وازن,True,True,,,False,,,
554,واساختن,واساخت,واساز,True,True,,,False,,,
555,واسِپُردن,واسِپُرد,واسِپُر,True,True,,,False,,,
556,واسوختن,واسوخت,واسوز,True,True,,,False,,,
557,واشکافتن,واشکافت,واشکاف,True,True,,,False,,,
558,واشِمُردن,واشِمُرد,واشِمُر,True,True,,,False,,,
559,واشناختن,واشناخت,واشناس,True,True,,,False,,,
560,واشَمیدن* [۵۵],واشمید,واشم,؟,True,گذرا,,False,,,
561,واکاویدن,واکاوید,واکاو,True,True,,,False,,,
562,واکشیدن,واکشید,واکش,True,True,,,False,,,
563,واکوفتن,واکوفت,واکوب,True,True,,,False,,,
564,واگذاشتن,واگذاشت,واگذار,True,True,,,False,,,
565,واگفتن,واگفت,واگوی,True,True,,,False,,,
566,واگندن,واگند,واگن,True,True,,,False,,,
567,وانهادن,وانهاد,وانِه,True,True,,,False,,,
568,واهِشتن,واهِشت,واهِل,True,True,,,False,,,
569,ورافتادن,ورافتاد,وراُفت,True,True,,,False,,,
570,ورانداختن,ورانداخت,ورانداز,True,True,,,False,,,
571,ورپریدن,واپرید,ورپَر,True,True,,,False,,,
572,وررفتن,وررفت,وررو,True,True,,,False,,,
573,ورزیدن,ورزید,ورز,True,True,,,False,,,
574,ورتیدن,ورتید,ورت,True,True,,,False,,,
575,وردیدن,وردید,ورد,True,True,,,وَردَنه [۱۲۱],,,
576,ورنگریستن,ورنگریست,ورنگر,True,True,,,False,,,
577,وزیدن,وزید,وز,True,True,,,False,,,
578,وَشکَریدن/وَشکَردن[۱۲۲],وَشکرید/وشکرد,وَشکر,False,True,,کاری را به چابکی کردن؛ با تجربه کاری را انجامیدن,False,,,
579,وشکولیدن[۱۲۳],وشکولید,وشکول,False,True,,کاری را به چابکی کردن؛ با تجربه کاری را انجامیدن,False,,,
580,وَشتن,وشت,وَس,True,True,,,False,,,
581,ویراستن,ویراست,ویرای,True,True,,,False,,,
582,هراسیدن,هراسید,هراس,؟,؟,,,False,,,
583,هشتن,هشت,هل,؟,؟,,,False,,,
584,هِلیدن,هلید,هل,True,؟,,,False,,,
585,یاختن 1,یاخت,یاز,؟,؟,,,False,,,
586,یارستن,یارست,یار,؟,؟,,,False,,,
587,یازیدن,یازید,یاز,؟,؟,,,False,,,
588,یافتن,یافت,یاب,True,True,,,False,,,
589,یوختن,یوخت,یوز,True,True,,,False,,,
589,برداشتن,برداشت,دار,True,True,,,False,,,
589,بردارن,بردار,دار,True,True,,,False,,,
